Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,1455,2954,1746,2201,1970,1229
Black,1044,2719,1757,1188,1586,963
Am. Ind./Alskn,3,13,11,2,8,2
Asian/Pacfc Isl.,19,91,62,26,59,42
Unknown,157,79,39,141,33,15
TOTAL,2678,5856,3615,3558,3656,2251
