Civil Process / Criminal & Civil,Total
Subpoenas served,6359
Inmate transports,700
Jury summons served,710
Temporary Detention Orders ,94
Criminal warrants served,359
Extraditions completed,63
Levies served,1024
Other civil process served,1521
