Miscellaneous,Total
Bicycle Helmets Distributed,100
Fingerprinting events,3
Total number of children fingerprinted,200
Senior Prom,225
Senior Jamboree,425
Senior Safety Fair,300
Senior Barbecue/Barn Dance,234
Residential Assessments,10
Business Assessments,6
Classes Taught at Academy,10
