Arrests by Offense,King George,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",3,2
Robbery,1,0
Aggravated Assault,8,1
Simple Assault/Intimidation,104,8
Arson,1,1
Extortion/Blackmail,0,0
Burglary,16,2
Larceny,29,3
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,0,0
Fraud,6,1
Embezzlement,1,0
Stolen Property,4,2
Vandalism,12,0
Drug/Narcotic Offenses,105,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,1
TOTAL GROUP A,298,24
Bad Checks,18,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,7,0
Driving Under Influence,98,0
Drunkenness,30,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,12,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,9,0
Conspiracy,0,0
All Other (except Traffic),183,0
TOTAL GROUP B,357,3
GRAND TOTAL,655,27
