Arrests by Offense,Covington,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,1,0
Aggravated Assault,7,0
Simple Assault/Intimidation,43,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,3,0
Larceny,20,12
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,0,0
Fraud,0,0
Embezzlement,3,0
Stolen Property,0,0
Vandalism,2,0
Drug/Narcotic Offenses,36,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,0
TOTAL GROUP A,120,17
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,7,0
Driving Under Influence,30,1
Drunkenness,41,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,12,12
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,2,0
Conspiracy,0,0
All Other (except Traffic),71,1
TOTAL GROUP B,164,14
GRAND TOTAL,284,31
