Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,5,0
Manslaughter,0,0
Kidnaping,26,0
"Sex Offenses, Forcible",33,17
Robbery,62,17
Aggravated Assault,113,30
Simple Assault/Intimidation,1497,1158
Arson,6,25
Extortion/Blackmail,2,0
Burglary,175,105
Larceny,1183,585
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,145,7
Fraud,225,25
Embezzlement,88,3
Stolen Property,37,7
Vandalism,141,178
Drug/Narcotic Offenses,1789,319
"Sex Offenses, Nonforcible",11,2
Pornography,9,2
Gambling,0,0
Prostitution,70,0
Bribery,1,0
Weapon Law Violations,205,59
TOTAL GROUP A,5823,2539
Bad Checks,47,0
Curfew/Loitering/Vagrancy,1,537
Disorderly Conduct,737,198
Driving Under Influence,1095,14
Drunkenness,10,7
"Family Offenses, Nonforcible",29,2
Liquor Laws Violations,369,98
Peeping Tom,3,0
Runaway,0,569
Trespass of Real Property,183,139
Conspiracy,0,0
All Other (except Traffic),2735,432
TOTAL GROUP B,5209,1996
GRAND TOTAL,11032,4535
