Arrests by Offense,Alleghany ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,0
Robbery,1,0
Aggravated Assault,12,0
Simple Assault/Intimidation,83,5
Arson,0,0
Extortion/Blackmail,0,0
Burglary,10,0
Larceny,40,0
Motor Vehicle Theft,1,3
Counterfeiting/Forgery,2,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,0,0
Vandalism,7,0
Drug/Narcotic Offenses,136,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,297,11
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,5,0
Driving Under Influence,88,0
Drunkenness,62,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,18,5
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,10,0
Conspiracy,1,0
All Other (except Traffic),93,2
TOTAL GROUP B,279,11
GRAND TOTAL,576,22
