Arrests by Offense,Total State,
,Adult,Juvenile
Murder,265,12
Manslaughter,5,0
Kidnaping,978,20
"Sex Offenses, Forcible",1046,234
Robbery,1565,377
Aggravated Assault,3733,447
Simple Assault/Intimidation,36945,4730
Arson,146,135
Extortion/Blackmail,47,17
Burglary,3746,892
Larceny,27506,4839
Motor Vehicle Theft,824,184
Counterfeiting/Forgery,2124,49
Fraud,4292,151
Embezzlement,1599,26
Stolen Property,849,151
Vandalism,3806,982
Drug/Narcotic Offenses,34015,2765
"Sex Offenses, Nonforcible",127,15
Pornography,171,43
Gambling,72,1
Prostitution,783,4
Bribery,9,0
Weapon Law Violations,3414,388
TOTAL GROUP A,128067,16462
Bad Checks,2266,5
Curfew/Loitering/Vagrancy,242,1995
Disorderly Conduct,4371,985
Driving Under Influence,29681,177
Drunkenness,33678,209
"Family Offenses, Nonforcible",2170,46
Liquor Laws Violations,10620,1844
Peeping Tom,55,3
Runaway,0,3512
Trespass of Real Property,10237,964
Conspiracy,103,5
All Other (except Traffic),102470,5428
TOTAL GROUP B,195893,15173
GRAND TOTAL,323960,31635
