Arrests by Offense,Fredericksburg,,Galax,
,Adult,Juvenile,Adult,Juvenile
Murder,1,0,0,0
Manslaughter,0,0,0,0
Kidnaping,9,0,1,0
"Sex Offenses, Forcible",7,1,0,2
Robbery,18,2,3,0
Aggravated Assault,42,1,6,0
Simple Assault/Intimidation,236,4,76,5
Arson,0,0,0,0
Extortion/Blackmail,0,0,0,0
Burglary,33,1,3,12
Larceny,337,34,135,14
Motor Vehicle Theft,0,0,2,0
Counterfeiting/Forgery,21,0,3,0
Fraud,74,1,6,0
Embezzlement,26,1,1,0
Stolen Property,7,1,2,0
Vandalism,27,6,9,2
Drug/Narcotic Offenses,286,10,42,2
"Sex Offenses, Nonforcible",0,0,0,0
Pornography,5,0,0,0
Gambling,0,0,0,0
Prostitution,0,0,0,0
Bribery,0,0,0,0
Weapon Law Violations,19,0,1,0
TOTAL GROUP A,1148,62,290,37
Bad Checks,20,0,13,0
Curfew/Loitering/Vagrancy,0,0,0,0
Disorderly Conduct,19,0,1,1
Driving Under Influence,200,0,50,1
Drunkenness,255,0,132,0
"Family Offenses, Nonforcible",6,0,0,0
Liquor Laws Violations,73,2,11,4
Peeping Tom,1,0,0,0
Runaway,0,0,0,0
Trespass of Real Property,56,0,31,1
Conspiracy,0,0,0,0
All Other (except Traffic),554,25,77,4
TOTAL GROUP B,1184,27,315,11
GRAND TOTAL,2332,89,605,48
