Arrests by Offense,Botetourt,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,1
Robbery,3,0
Aggravated Assault,13,0
Simple Assault/Intimidation,78,10
Arson,1,0
Extortion/Blackmail,0,0
Burglary,15,2
Larceny,38,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,8,0
Fraud,11,0
Embezzlement,10,0
Stolen Property,2,1
Vandalism,24,5
Drug/Narcotic Offenses,121,9
"Sex Offenses, Nonforcible",3,0
Pornography,1,3
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,17,1
TOTAL GROUP A,349,34
Bad Checks,10,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,0
Driving Under Influence,110,1
Drunkenness,72,2
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,12,13
Peeping Tom,0,0
Runaway,0,7
Trespass of Real Property,4,0
Conspiracy,0,0
All Other (except Traffic),111,12
TOTAL GROUP B,323,35
GRAND TOTAL,672,69
