Arrests by Offense,Halifax,
,Adult,Juvenile
Murder,3,1
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",9,1
Robbery,2,1
Aggravated Assault,22,1
Simple Assault/Intimidation,138,5
Arson,1,0
Extortion/Blackmail,0,0
Burglary,13,0
Larceny,112,12
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,2,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,3,0
Vandalism,28,11
Drug/Narcotic Offenses,142,8
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,24,0
TOTAL GROUP A,513,40
Bad Checks,15,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,27,2
Driving Under Influence,128,0
Drunkenness,191,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,12,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,37,0
Conspiracy,0,0
All Other (except Traffic),460,16
TOTAL GROUP B,870,23
GRAND TOTAL,1383,63
