Arrests by Offense,Prince George,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",7,4
Robbery,2,1
Aggravated Assault,10,2
Simple Assault/Intimidation,76,9
Arson,0,0
Extortion/Blackmail,1,0
Burglary,18,2
Larceny,34,9
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,2,0
Fraud,14,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,4,0
Drug/Narcotic Offenses,148,10
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,329,38
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,3
Disorderly Conduct,7,1
Driving Under Influence,26,0
Drunkenness,30,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,6,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,14,3
Conspiracy,0,0
All Other (except Traffic),67,0
TOTAL GROUP B,151,8
GRAND TOTAL,480,46
