Arrests by Offense,Williamsburg,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,11,0
"Sex Offenses, Forcible",5,0
Robbery,2,5
Aggravated Assault,4,5
Simple Assault/Intimidation,117,6
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,4
Larceny,43,6
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,6,0
Fraud,14,0
Embezzlement,6,2
Stolen Property,3,0
Vandalism,7,0
Drug/Narcotic Offenses,79,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,1
TOTAL GROUP A,305,35
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,1
Driving Under Influence,102,1
Drunkenness,133,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,32,1
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,11,0
Conspiracy,0,0
All Other (except Traffic),40,5
TOTAL GROUP B,331,8
GRAND TOTAL,636,43
