Arrests by Offense,Henrico,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",10,2
Robbery,88,33
Aggravated Assault,134,38
Simple Assault/Intimidation,971,279
Arson,6,22
Extortion/Blackmail,1,0
Burglary,157,59
Larceny,1349,515
Motor Vehicle Theft,11,6
Counterfeiting/Forgery,33,1
Fraud,145,5
Embezzlement,43,4
Stolen Property,12,3
Vandalism,113,63
Drug/Narcotic Offenses,820,116
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,135,0
Bribery,0,0
Weapon Law Violations,155,19
TOTAL GROUP A,4201,1165
Bad Checks,18,0
Curfew/Loitering/Vagrancy,1,49
Disorderly Conduct,32,134
Driving Under Influence,922,6
Drunkenness,721,4
"Family Offenses, Nonforcible",14,0
Liquor Laws Violations,106,49
Peeping Tom,3,0
Runaway,0,440
Trespass of Real Property,253,80
Conspiracy,8,0
All Other (except Traffic),3272,163
TOTAL GROUP B,5350,925
GRAND TOTAL,9551,2090
