Name: “Table 1 of 1 on page 1 of 9”,Name: “Table 1 of 1 on page 1 of 9”,Name: “Table 1 of 1 on page 1 of 9”,Name: “Table 1 of 1 on page 1 of 9”,Name: “Table 1 of 1 on page 1 of 9”,Name: “Table 1 of 1 on page 1 of 9”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,
,VCCs Listed by Alphabetical Order - Juvenile,VCCs Listed by Alphabetical Order - Juvenile,,,
Description,,VCC,Statute,Penalty,
ABORTION,,,,,
Juvenile and Domestic,Juvenile and Domestic,,,,
Petition filed for judicial authorization of an abortion,Petition filed for judicial authorization of an abortion,ABO-1408-J9,§16.1-241(V),,
CONTEMPT OF COURT,CONTEMPT OF COURT,,,,
Juvenile and Domestic,Juvenile and Domestic,,,,
Child in need of services violates court order (subseq.),Child in need of services violates court order (subseq.),CON-5005-J9,§16.1-292(D),,
Child in need of supervision violates court order,Child in need of supervision violates court order,CON-5009-J9,§16.1-292(E),,
CUSTODY,,,,,
Juvenile and Domestic,Juvenile and Domestic,,,,
Abandonment,,CUS-3801-J9,"§16.1-241(A,2)",,
Abused and neglected,Abused and neglected,CUS-3812-J9,"§16.1-241(A,1)",,
Agency shall have custody/control of child entrusted/committed,Agency shall have custody/control of child entrusted/committed,CUS-3797-J9,§63.2-1817,,
"Child placed for adoption by agency, social services, etc.","Child placed for adoption by agency, social services, etc.",CUS-3799-J9,§63.2-1817,,
"Consent order, custody","Consent order, custody",CUS-3813-J9,"§16.1-241(A,3)",,
"Controversy, custody","Controversy, custody",CUS-3814-J9,"§16.1-241(A,3)",,
Determination of custody required,Determination of custody required,CUS-3815-J9,"§16.1-241(A,3)",,
"Emergency treatment, judicial consent for","Emergency treatment, judicial consent for",CUS-3818-J9,§16.1-241(D),,
Entrustment agreement,Entrustment agreement,CUS-3816-J9,"§16.1-241(A,4)",,
Motion to amend - custody/visitation,Motion to amend - custody/visitation,CUS-3875-J9,§20-124.2,,
Motion to show cause - custody/visitation,Motion to show cause - custody/visitation,CUS-3874-J9,§18.2-456(5),,
Noncustodial foster care,Noncustodial foster care,CUS-3800-J9,§63.2-1817,,
Permanent foster care,Permanent foster care,CUS-3819-J9,§63.2-908,,
Petition court for approval of temporary entrustment agreement,Petition court for approval of temporary entrustment agreement,CUS-3798-J9,§63.2-1817,,
Relief of custody,,CUS-3817-J9,"§16.1-241(A,4)",,
Standby guardianship - petition,Standby guardianship - petition,CUS-3871-J9,§16.1-350,,
Visitation controversy,Visitation controversy,CUS-3820-J9,"§16.1-241(A,3)",,
DESERTION AND NONSUPPORT,DESERTION AND NONSUPPORT,,,,
Juvenile and Domestic,Juvenile and Domestic,,,,
Blood testing to determine paternity,Blood testing to determine paternity,DES-3821-J9,§20-49.3,,
Commonwealth as initiating state,Commonwealth as initiating state,DES-3822-J9,§20-88.47,,
Commonwealth as responding state,Commonwealth as responding state,DES-3823-J9,§20-88.48,,
Motion to amend - non-support orders,Motion to amend - non-support orders,DES-3876-J9,§20-124.2(C),,
Motion to show cause - non-support court orders,Motion to show cause - non-support court orders,DES-3877-J9,§18.2-456(5),,
Motion to show cause (DCSE administrative order),Motion to show cause (DCSE administrative order),DES-3880-J9,§16.1-278.16,,
"Spousal support, spouse seeks after separated","Spousal support, spouse seeks after separated",DES-3824-J9,§16.1-241(l),,
Support is subject of controversy / requires determination,Support is subject of controversy / requires determination,DES-3825-J9,"§16.1-241(A,3)",,
FAMILY OFFENSE,FAMILY OFFENSE,,,,
Tobacco - Juvenile and Domestic,Tobacco - Juvenile and Domestic,,,,
"Purchase, attempted purchase or possession of tobacco by minor","Purchase, attempted purchase or possession of tobacco by minor",FAM-3856-J9,§18.2-371.2(B),,
INTERSTATE COMPACT,INTERSTATE COMPACT,,,,
Juvenile and Domestic,Juvenile and Domestic,,,,
Cooperative Supervision of Probationers and Parolees - Article VII,Cooperative Supervision of Probationers and Parolees - Article VII,ICJ-8103-J9,§16.1-323,,
Return of Escapees and Absconders - Article V,Return of Escapees and Absconders - Article V,ICJ-8101-J9,§16.1-323,,
Return of Runaway - Article IV,Return of Runaway - Article IV,ICJ-8100-J9,§16.1-323,,
Voluntary Return,- Article VI,ICJ-8102-J9,§16.1-323,,
JUVENILE & DOMESTIC COURT - OTHER,JUVENILE & DOMESTIC COURT - OTHER,,,,
Community Placements,Community Placements,,,,
Court ordered placement - Type not clear from record,Court ordered placement - Type not clear from record,JUV-3883-J9,,,
,,,,Virginia Court Codes - Alphabetical,1
