,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,142,152,125,158,134,187,186,163,131,149,128,113
"Assault, Aggrav.",862,717,875,871,890,975,937,873,991,799,700,692
"Assault, Other",6220,5731,6593,6725,7364,7145,6941,6531,7144,6489,5858,5460
Bribery,1,1,5,1,2,2,2,1,0,1,1,1
Burglary,2654,2278,2459,2488,2638,2543,2861,2670,2611,2437,2500,2532
Counterfeiting,739,687,705,700,752,662,813,634,639,711,573,500
Destruction,7219,6482,7456,7796,7738,8202,8955,9084,8009,7821,7569,7501
Drug,2871,2924,3437,3180,3296,2869,2996,2979,2502,2424,2651,2275
Embezzlement,262,198,213,206,240,233,222,229,241,238,226,195
Extortion,15,1,6,8,4,6,2,10,6,5,6,7
Fraud,1215,1061,1118,1090,1134,1100,1121,1171,1088,1030,986,892
Gambling,1,6,6,5,4,4,7,1,2,2,3,2
"Homicide, Murder",29,30,25,21,34,16,33,30,39,33,24,29
"Homicide, Neg.",1,2,1,1,2,1,0,2,1,1,1,1
Kidnapping,115,99,105,126,120,153,155,129,131,114,92,90
Larceny,13705,12205,13590,14431,15559,15505,16854,16636,15206,14733,13769,13804
MV Theft,1548,1189,1505,1580,1621,1645,1785,1653,1543,1528,1415,1376
Pornography,18,17,23,11,12,13,18,6,13,17,6,7
Prostitution,81,56,51,52,54,45,70,92,68,63,39,41
Robbery,636,407,598,563,535,568,562,503,634,662,564,633
"Forcible Sex, Rape",138,125,133,151,140,151,186,173,158,141,133,115
"Forcible Sex, Other",284,253,268,263,320,342,322,282,292,243,224,144
Nonforcible Sex,32,30,20,25,20,22,34,24,21,16,17,21
Stolen Property,145,80,93,111,104,105,99,119,99,119,83,97
Weapon Laws,758,646,781,765,753,791,730,772,785,805,713,688
Group A Offenses,38691,35377,40191,41328,43470,43285,45891,44767,42354,40581,38281,37216
Group A Incidents,34339,30887,35331,36152,38164,38170,40181,39219,36989,35426,33230,32335
"Assaults, Other includes simple assaults, and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other includes sodomy, sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
