TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD,7780,6041.13,470,1,0,2,0,2,14,16,0,0,40,289,14,29,2,4,0,84,2,0,0,0,0,0,2
Altavista PD,3425,4934.3,169,0,1,1,2,1,5,47,0,0,13,66,7,10,2,3,0,31,3,0,0,0,0,0,5
Amherst PD,2251,3420.7,77,0,0,0,0,0,6,19,1,0,5,26,0,0,3,0,0,25,1,0,0,0,0,0,0
Appalachia PD,1839,4622.07,85,0,1,1,0,0,6,27,0,0,9,27,0,1,0,1,1,6,5,1,0,0,0,0,3
Ashland PD,6619,8868.4,587,1,5,4,1,12,8,85,4,0,33,285,20,10,9,0,0,179,23,0,0,0,0,0,5
Berryville PD,2963,6378.67,189,0,0,0,1,0,5,22,0,0,7,64,2,5,1,0,1,67,28,1,0,0,0,0,3
Big Stone Gap PD,4856,3995.05,194,0,0,0,1,3,5,46,2,0,15,92,3,5,0,0,0,33,3,0,0,0,0,0,1
Blacksburg PD,39573,3909.23,1547,2,1,4,12,11,55,248,3,1,166,613,30,16,36,2,7,521,56,1,0,0,0,0,16
Blackstone PD,3675,8326.53,306,1,2,3,6,2,2,62,2,0,17,127,1,4,6,5,0,71,30,0,0,0,1,0,8
Bluefield PD,5078,5868.45,298,0,0,0,1,5,3,23,0,0,29,149,4,40,15,1,1,49,9,0,1,0,0,0,2
Bowling Green PD0,936,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD0,620,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgewater PD,5203,1249.27,65,0,0,0,0,0,1,10,1,0,6,33,4,0,2,1,1,9,7,0,0,0,0,0,1
Broadway PD,2192,2281.02,50,0,0,0,0,0,1,6,0,0,2,21,2,1,3,2,1,13,5,0,0,0,0,0,1
Brookneal PD,1259,1509.13,19,1,0,1,0,0,2,1,0,0,2,8,1,0,0,0,0,3,0,0,0,0,0,0,1
Burkeville PD0,489,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD,1134,5820.1,66,0,0,0,1,1,2,12,1,0,7,20,1,2,0,0,0,21,0,0,0,0,0,0,3
Cedar Bluff PD,1085,6543.77,71,0,0,0,0,1,4,7,0,0,4,39,2,5,1,0,0,7,7,0,0,0,0,0,0
Chase City PD,2457,6471.3,159,0,0,1,2,1,2,19,0,0,18,68,4,1,0,1,2,48,17,0,0,0,0,0,3
Chatham PD,1338,1270.55,17,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0
Chilhowie PD,1827,1696.77,31,0,0,0,0,1,1,18,0,0,1,12,0,0,0,0,0,3,0,0,0,0,0,1,3
Chincoteague PD,4317,6949.27,300,0,0,0,0,0,4,61,0,0,48,140,2,1,4,0,0,80,8,0,0,0,0,0,5
Christiansburg PD,16947,1917.74,325,0,0,1,3,2,1,64,0,0,18,152,5,14,12,8,0,41,28,0,0,0,0,0,4
Clarksville PD,1329,5267.11,70,0,0,1,0,0,3,3,0,0,5,25,3,2,0,0,3,8,18,0,0,0,0,0,4
Clifton Forge PD,4289,3963.62,170,1,0,0,0,1,8,34,5,0,6,46,5,2,0,0,0,67,15,0,0,0,0,0,5
Clinchco PD9,424,1179.24,5,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Clintwood PD,1549,3292.44,51,0,0,1,0,0,0,13,0,0,1,27,0,0,0,0,0,11,0,0,0,0,0,0,0
Coeburn PD8,1996,951.9,19,0,0,0,0,0,1,1,0,0,2,8,1,0,2,0,0,7,0,0,0,0,0,0,0
Colonial Beach PD,3228,5359.35,173,0,0,2,2,0,11,23,1,0,32,66,9,1,6,1,0,56,12,0,0,0,0,0,6
