Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,129,192,236,277,350,335,324,1284,1428,1142,875,508,314,115,71,77,7657
Curfew/Loitering/Vagrancy,14,11,8,2,2,1,0,7,5,7,18,8,10,6,0,0,99
Disorderly Conduct,344,358,385,431,387,233,208,764,557,585,463,285,151,86,47,48,5332
Driving Under the Influence,479,780,984,1246,1187,1071,937,3730,3125,3112,2953,1989,1151,621,300,301,23966
Drunkenness,666,813,871,1239,1116,950,796,2871,2844,3563,3971,2433,1364,696,355,338,24886
"Family Offenses, Nonviolent",32,34,34,30,41,35,46,174,195,146,129,86,20,6,2,3,1013
Liquor Laws,1494,1750,1456,382,244,188,152,544,486,588,648,414,262,166,82,75,8931
Peeping Tom,2,7,3,3,3,1,4,18,4,12,9,8,2,1,0,2,79
Runaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass to Real Property,701,663,505,468,398,309,263,916,786,869,730,493,303,175,77,64,7720
Conspiracy to Commit Group A Offense,4,9,1,4,5,2,7,11,13,7,5,3,1,1,0,1,74
Conspiracy to Commit Group B Offense,1,2,0,0,0,0,1,1,4,2,0,0,0,0,0,0,11
All Other Offenses,2982,4019,4095,4090,3838,3376,3124,11714,11017,10521,8565,5009,2744,1405,722,792,78013
Total Group B Offenses,6848,8638,8578,8172,7571,6501,5862,22034,20464,20554,18366,11236,6322,3278,1656,1701,157781
