COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD,86700,4685.12,4062,1,5,23,44,21,105,1008,23,0,275,1606,86,45,227,56,4,1279,266,8,4,0,0,0,46
State Police,,,53,0,0,0,0,0,0,3,0,0,0,5,0,1,14,0,0,2,28,0,0,0,0,0,1
Arlington County PD6,194300,5584.14,10850,6,27,33,58,213,190,1558,8,3,425,4988,676,196,833,68,69,1497,910,4,6,7,37,1,59
State Police,,,36,0,0,0,0,0,4,0,0,0,0,3,0,1,3,1,0,2,22,0,0,0,0,0,3
Chesterfield County PD,270700,6239.74,16891,9,54,53,204,220,281,4580,69,1,1373,7081,473,277,691,148,27,4109,1252,10,10,0,9,0,376
State Police,,,213,0,1,0,0,0,12,4,0,0,1,14,2,5,40,0,0,4,130,0,0,0,0,0,10
Fairfax County PDi,970192,3475.49,33719,7,104,44,120,296,125,5905,84,1,1552,14643,1310,180,649,202,7,9964,900,0,1,0,27,1,397
State Police,,,327,0,1,0,1,0,30,17,0,0,0,16,6,24,23,6,0,14,195,0,2,0,0,3,13
Henrico County PD,271700,7026.49,19091,10,34,34,31,258,289,3403,145,0,1436,9214,825,395,502,25,44,4027,1003,5,3,0,14,0,220
State Police,,,143,0,0,0,0,0,1,2,0,0,1,7,1,9,28,0,0,3,91,0,2,0,0,0,9
James City County PD,51800,4799.22,2486,1,8,15,28,12,45,769,16,1,113,883,75,30,91,23,3,623,128,2,3,0,0,0,49
State Police,,,85,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,79,0,0,0,0,0,2
Prince George County PD,33700,3234.42,1090,1,8,6,17,11,24,187,7,0,97,489,40,24,27,2,7,240,123,2,3,0,0,0,26
State Police,,,25,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,3
Prince William County PD,304564,5216.63,15888,6,51,39,118,195,362,3196,79,5,1024,6401,696,303,803,142,40,2665,1528,15,5,1,1,1,281
State Police,,,234,0,1,1,1,1,12,1,1,0,0,11,2,7,32,2,0,7,149,0,1,0,1,0,16
Roanoke County PD,79918,3732.57,2983,6,20,23,50,11,149,1072,5,1,212,1002,87,252,410,30,9,369,279,2,1,0,4,0,75
State Police,,,44,0,0,0,0,0,6,1,0,0,1,3,1,1,17,0,0,1,14,0,0,0,0,0,0
