Type of Property,Burned,Counterfeited/Forged,Destroyed/Damaged/Vandalized,Recovered,Seized,Stolen
Aircraft,0,0,0,0,0,0
Alcohol,0,,0,"124,368",0,"248,796"
Automobiles,0,0,152,"62,928,970",,"93,090,248"
Bicycles,0,0,,"199,723",,"1,903,491"
Buses,0,0,0,"50,001",,"420,654"
Clothing/Furs,0,0,"4,065","917,342",1,"5,107,794"
Computer Hardware/Software,0,1,150,"1,066,177",,"12,659,469"
Consumable Goods,0,0,,"126,760",,"4,232,102"
Credit/Debit Cards,0,0,0,0,0,0
Drugs/Narcotics,0,0,0,"11,544",5,"217,186"
Drug/Narcotic Equipment,0,0,0,158,5,"68,258"
Farm Equipment,0,0,0,"164,352",0,"1,090,039"
Firearms,0,0,0,"288,304",0,"2,316,333"
Gambling Equipment,0,0,0,105,0,"99,640"
Heavy Construction/Industrial Equipment,0,0,"1,500","945,985",0,"4,704,329"
Household Goods,0,0,858,"145,688",0,"3,806,782"
Jewelry/Precious Metals,0,0,0,"1,268,694",0,"20,859,924"
Livestock,0,0,0,"97,149",0,"304,135"
Merchandise,0,0,190,"520,527",0,"4,516,432"
Money,0,20,12,"855,382",0,"27,216,803"
Negotiable Instruments,0,"1,574",0,"388,097",0,"9,239,695"
Nonnegotiable Instruments,0,0,0,0,0,0
Office-type Equipment,0,0,0,"61,811",0,"673,330"
Other Motor Vehicles,0,0,0,"2,753,008",0,"8,396,243"
Purses/Handbags/Wallets,0,0,0,"84,176",0,"801,680"
Radios/TVs/VCRs,0,0,"2,751","4,360,150",0,"9,247,475"
Recordings-Audio/Visual,0,0,1,"252,942",0,"9,694,494"
Recreational Vehicles,0,0,0,"1,478,181",0,"2,864,515"
Structures-Single Occupancy,0,0,251,0,0,0
Structures-Other Dwellings,0,0,0,0,0,0
Structures-Other Commercial/Business,0,0,"1,200",0,0,0
Structures-Industrial/Manufacturing,0,0,0,0,0,0
Structures-Public/Community,0,0,0,0,0,0
Structures-Storage,0,0,0,0,0,0
Structures-Other,0,0,"5,250",0,0,0
Tools,0,0,212,"493,961",2,"10,667,213"
Trucks,0,0,1,"8,344,588",0,"13,772,592"
Vehicle Part/Accessories,0,0,"47,863","310,723",0,"11,403,341"
Watercraft,0,0,0,"1,407,086",0,"2,067,769"
Other,0,183,"38,824","2,193,508",4,"28,946,493"
TOTAL,0,"$1,778","$103,280","$87,915,325",$17,"$290,637,255"
