,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,20,21,16,20,17,8,13,42,21,22,13,12,8,4,1,3,241
Negligent Manslaughter,0,0,1,0,100,0,0,2,0,0,0,0,0,4,,,
Kidnaping/Abduction,34,43,47,39,27,40,34,123,104,83,50,27,12,10,4,2,679
Forcible Rape,22,24,22,26,18,11,16,57,62,73,52,16,11,4,3,4,421
Forcible Sodomy,15,9,3,6,2,6,3,12,22,30,7,10,8,3,3,5,144
Sexual Assault with an Object,33,3,4,3,319,13,10,10,6,5,1,3,4,81,,,
Forcible Fondling,20,26,29,21,13,12,7,60,74,86,65,48,32,13,15,30,551
Robbery,142,155,118,90,56,64,55,185,124,113,71,34,5,3,1,0,1216
Aggravated Assault,227,253,237,224,209,196,165,592,500,550,424,262,159,76,36,33,4143
Simple Assault,1053,1120,1219,1235,1233,1198,1106,4658,4502,4385,3700,2053,1056,504,255,278,29555
Intimidation,69,51,48,59,54,46,47,186,194,188,174,88,54,35,14,24,1331
Arson,19,18,11,3,8,9,6,21,12,28,12,25,7,3,1,2,185
Extortion/Blackmail,1,1,1,0,1,4,3,2,1,1,1,0,0,16,,,
Burglary/B & E,321,347,245,204,167,168,139,390,306,330,238,102,44,13,5,6,3025
Pocket Picking,10,14,6,12,9,6,8,21,17,19,18,6,4,5,3,0,158
Purse Snatching,62,1,0,0,226,7,3,6,3,1,0,0,0,39,,,
Shoplifting,685,554,425,326,324,254,263,901,907,970,809,529,285,137,67,83,7519
Theft from Building,38,41,26,34,28,26,32,72,85,63,81,37,11,4,4,1,583
Theft from Coin-Operated Machine or Device,16,2,4,4,5,1,3,15,7,7,1,2,0,0,1,0,68
Theft from Motor Vehicle,62,53,40,20,29,30,16,43,44,36,18,13,6,1,0,0,411
Theft of Motor Vehicle Parts,18,15,17,10,9,4,4,23,6,9,8,7,0,3,0,0,133
All Other Larceny,607,556,458,360,322,295,286,996,979,959,722,372,190,71,36,35,7244
Motor Vehicle Theft,131,104,74,47,47,34,41,148,136,136,94,37,21,4,5,2,1061
Counterfeiting/Forgery,107,160,165,127,137,115,117,605,511,505,270,103,75,20,7,3,3027
False Pretenses/Swindle/Confidence Game,46,58,69,67,61,59,55,245,275,240,240,115,67,30,7,10,1644
Credit Card/Automatic Teller Machine Fraud,16,21,19,17,24,11,16,49,29,30,39,11,15,2,0,0,299
Impersonation,25,33,51,12,20,17,8,39,35,30,22,18,8,2,2,0,322
Welfare Fraud,0,0,1,2,1,9,14,1193,2,4,2,30,61,,,,
Wire Fraud,0,1,0,0,0,1,210,10,2,0,0,8,,,,,
Embezzlement,81,81,78,65,61,49,53,174,162,158,100,69,29,20,11,2,1193
Stolen Property Offenses,110,86,47,50,53,37,28,102,101,75,63,27,16,11,1,1,808
Destruct/Damage/Vandalism,338,369,214,205,171,149,117,399,318,303,237,126,78,31,16,11,3082
Drug/Narcotic Violations,1984,2163,1789,1652,1378,1088,928,3311,2416,2163,1805,1120,481,178,52,37,22545
Drug Equipment Violations,515,14,8,13,2,102932,30,2815,10,4,1,0,216,,,,
Incest,0,0,0,0,0,30,101,0,0,2,0,7,,,,,
Statutory Rape,21,26,14,12,7,5,3,7,6,4,3,0,1,0,2,0,111
Porno./Obscene Material,43,0,4,0,0,14,10,8,1,35,3,1,2,49,,,
Betting/Wagering,22,5,1,1,3,11,21,0,0,0,0,19,,,,,
Operating/Promoting/Assisting Gambling,0,0,1,0,0,12,0,0,0,0,0,4,,,,,
Gambling Equip. Violations,0,0,0,0,0,1,12,0,0,0,0,4,,,,,
Sports Tampering,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Prostitution,36,3,13,14,11,6,58,96,98,61,31,14,4,1,4,423,
Assisting/Promoting Prostitution,13,3,9,3,4,3,17,16,1120,3,2,0,0,1,96,,
Bribery,1,1,0,0,0,1,1,0,0,0,0,4,,,,,
Weapon Law Violations,209,201,168,212,161,138,133,406,283,267,243,172,117,79,40,54,2883
Total Group A Arrests,6470,6640,5691,5202,4686,4103,3739,14026,12430,12038,9717,5506,2842,1283,603,637,95613
