COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,31525,3076.92,970,0,1,7,25,34,44,258,0,0,134,358,45,30,17,8,1,150,17,2,0,0,0,0,28
State Police,0,0,160,0,0,0,0,0,2,2,0,0,2,6,4,4,5,2,0,6,129,0,0,0,0,0,4
Alleghany County SO,12411,3279.34,407,1,1,2,2,0,13,164,1,0,33,119,15,3,3,4,1,82,25,2,0,0,0,0,10
State Police,0,0,52,0,0,0,2,0,4,1,0,0,0,6,1,0,4,1,0,2,31,0,0,0,0,0,2
Amelia County SO,11700,3205.12,375,1,1,2,8,3,7,123,0,0,35,101,8,12,1,1,3,87,31,2,0,0,0,0,17
State Police,0,0,13,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,7,0,0,0,0,0,0
Amherst County SO,29449,2573.94,758,2,3,5,14,2,15,108,7,0,47,299,19,91,17,11,0,109,88,0,0,0,2,0,11
State Police,0,0,25,0,1,0,0,0,2,2,0,0,1,1,0,2,1,0,0,2,15,0,0,0,0,0,1
Appomattox County SO,13700,1313.86,180,0,0,2,6,4,4,38,2,0,16,84,1,8,1,0,2,24,13,0,0,0,0,0,6
State Police,0,0,16,0,0,0,0,0,1,1,0,0,0,5,1,0,3,0,0,1,4,0,0,0,0,0,0
Augusta County SO,66300,2310.7,1532,4,10,11,26,6,49,297,2,0,121,601,48,116,116,20,6,431,95,4,1,0,0,0,33
State Police,0,0,136,0,1,0,0,0,5,15,2,0,6,33,3,3,11,1,0,13,49,0,1,0,3,0,6
Bath County SO,5000,280,14,0,0,0,1,0,0,5,0,0,1,3,0,2,0,0,0,1,2,0,0,0,0,0,0
State Police,0,0,25,0,0,0,0,1,0,2,0,0,1,8,1,2,0,0,0,2,11,0,0,0,0,0,0
Bedford County SO,61400,3446.25,2116,0,4,19,13,3,34,498,6,0,164,791,54,62,88,6,0,444,205,0,0,0,0,0,66
State Police,0,0,45,0,0,0,0,0,3,4,0,0,0,8,8,1,4,0,0,9,12,0,0,0,0,0,0
Bland County SO,6900,1318.84,91,0,0,0,0,1,1,4,1,0,19,52,3,1,0,0,0,34,4,0,0,0,0,0,0
State Police,0,0,28,1,0,0,1,0,0,1,1,0,2,3,0,0,0,0,0,2,18,0,0,0,0,0,0
Botetourt County SO,30600,2549.01,780,2,1,5,6,1,13,114,1,0,37,299,26,51,26,9,3,187,94,5,0,0,0,0,17
State Police,29,0,0,0,0,0,0,3,0,0,,,0,14,1,0,2,0,0,3,7,0,0,0,0,0,0
Brunswick County SO,17025,1027.9,175,0,0,0,1,1,8,20,1,0,18,61,5,1,0,1,1,46,19,1,0,0,0,0,5
State Police,0,0,46,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,39,0,0,0,0,0,1
Buchanan County SO,24795,3730.59,925,1,3,5,7,8,35,220,7,0,200,468,41,37,24,1,3,119,31,0,0,0,0,0,34
State Police,0,0,133,6,0,1,1,1,0,2,2,0,14,60,7,25,19,1,1,27,13,0,0,0,0,0,1
Buckingham County SO,15600,3955.12,617,0,3,2,10,1,25,227,6,1,66,171,1,4,4,0,4,144,23,0,0,0,0,0,23
State Police,0,0,20,0,0,0,0,0,0,2,0,0,0,2,7,2,0,0,0,0,6,0,0,0,0,0,1
Campbell County SO,46116,4824.78,2225,3,10,13,56,14,57,706,9,1,180,788,72,69,77,4,3,452,81,1,3,0,2,0,53
State Police,0,0,57,0,0,1,0,0,1,3,0,0,4,14,2,0,0,0,0,9,27,0,0,0,0,0,1
Caroline County SO,21264,1895.22,403,0,0,16,6,4,44,124,1,0,42,130,4,5,11,2,0,60,20,0,0,0,0,0,13
State Police,0,0,74,0,0,0,0,1,2,2,3,0,0,14,10,2,2,0,0,9,33,0,0,0,0,0,8
Carroll County SO,26993,3104.5,838,1,3,5,8,3,24,256,6,0,94,299,25,11,10,0,1,221,90,1,0,0,0,0,35
State Police,0,0,45,0,0,0,0,0,0,0,0,0,0,25,1,0,3,0,0,2,14,0,0,0,0,0,0
Charles City County SO 0,7000,1485.71,104,0,0,0,1,0,13,25,0,0,17,46,6,1,1,0,0,18,7,0,0,0,0,0,3
State Police,0,0,36,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,32,0,0,0,0,0,2
Charlotte County SO,12700,2070.86,263,1,0,0,1,1,26,105,0,0,30,55,8,5,2,0,1,31,46,1,0,0,0,0,15
State Police,0,0,58,0,0,0,0,0,1,1,0,0,2,4,0,0,1,0,0,1,50,0,0,0,0,0,1
Clarke County SO,10337,3366.54,348,1,0,1,8,0,35,36,5,0,18,134,13,9,9,1,1,95,13,0,0,0,1,0,2
State Police,0,0,31,0,0,0,1,0,1,3,0,0,1,3,0,0,0,0,0,3,20,0,0,0,0,0,5
Craig County SO,5200,1826.92,95,0,0,2,0,0,17,39,0,0,2,9,1,0,1,0,1,3,2,0,0,0,0,0,17
State Police,0,0,13,0,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,0,6,1,0,0,0,0,0
