Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD,137500,6097.45,8384,3,15,20,24,177,217,1442,16,0,480,4081,736,99,336,57,18,2176,415,4,0,1,13,1,55
State Police,24,0,0,0,0,0,2,2,0,0,,,0,2,0,0,7,0,0,2,8,0,0,0,0,0,1
Bedford PD,6400,9890.62,633,0,3,11,16,5,15,195,0,1,30,187,6,50,10,2,3,122,48,6,0,0,0,0,11
State Police,2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Bristol PD,17300,10549.13,1825,0,4,3,16,9,80,567,9,0,72,597,33,71,37,10,3,404,144,2,0,0,0,0,12
State Police,3,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Buena Vista PD,6300,2650.79,167,0,0,1,1,0,15,33,0,0,6,63,4,5,5,3,0,33,7,0,0,0,0,0,2
State Police,5,0,0,0,0,0,0,0,0,0,,,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1
Charlottesville PD,39800,8492.46,3380,3,16,26,29,73,243,726,8,0,209,1181,143,37,127,33,7,961,274,5,3,0,0,0,52
State Police,3,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Chesapeake PD,205100,6543.63,13421,6,132,66,139,323,975,3127,18,1,1375,6751,629,226,412,89,54,252,1233,14,0,2,1,1,803
State Police,49,0,0,0,0,0,5,5,0,0,,,0,3,1,7,4,0,0,1,23,0,0,0,0,0,1
Colonial Heights PD,17000,10870.58,1848,0,6,4,14,21,18,278,12,0,91,857,45,75,95,52,4,347,179,0,0,0,0,0,21
State Police,22,0,0,0,0,0,1,0,0,0,,,0,1,0,0,10,0,0,0,9,0,0,0,0,0,1
