Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport PD,11,9,2,1
Emory & Henry Col. PD,1,1,0,0
Ferrum College PD,7,4,3,0
Geo. Mason Univ. PD,38,32,6,14
Hampton University PD,20,17,3,16
James Madison Univ. PD,21,18,3,6
Longwood Col. PD,12,11,1,8
Mary Wash. Col. PD,12,11,1,7
Norfolk State Univ. PD,24,16,8,30
N. VA Comm. Col. PD,35,30,5,0
Old Dominion Campus PD,31,26,5,25
Radford Univ. PD,18,16,2,5
Thomas Nelson Col. PD,8,7,1,2
Univ. of Richmond PD,16,14,2,16
University of Virginia PD,54,41,13,66
UVA's Col. at Wise PD,7,6,1,1
VA Commonwlth Univ. PD,67,56,11,25
Virginia Military Institute,6,6,0,0
Virginia State Univ. PD,18,13,5,14
Virginia Tech PD,35,31,4,18
VA Wstrn Comm. Col. PD,6,6,0,0
William & Mary Col. PD,19,16,3,3
COLLEGE AND UNIVERSITY TOTAL,466,387,79,257
