Location,Number of Offenses
Air/Bus/Train Terminal,365
Bank/Savings & Loan,499
Bar/Night Club,741
Church/Synagogue/Temple,822
Commercial/Office Building,5402
Construction Site,1986
Convenience Store,8398
Department/Discount Store,11830
Drug Store/Dr Office/Hospital,2080
Field/Woods,865
Government/Public Building,1368
Grocery/Supermarket,5279
Highway/Road/Alley,14246
Hotel/Motel/Etc.,2218
Jail/Penitentiary,49
Lake/Waterway,296
Liquor Store,181
Parking Lot/Garage,24998
Rental/Storage Facility,766
Residence/Home,56920
Restaurant,3137
School/College,5906
Service/Gas Station,8354
Specialty Store,5709
Other/Unknown,13582
TOTAL,175997
