Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,3289,4382,105.18
Curfew/Loitering/Vagrancy Violations,1787,826,35.83
Disorderly Conduct,4720,1954,91.51
Driving Under the Influence,20151,4083,332.27
Drunkenness,21937,3242,345.23
"Family Offenses, Nonviolent",738,296,14.18
Liquor Law Violations,8261,2587,148.74
Peeping Tom,81,3,1.15
Runaway,1621,2322,54.06
Trespass of Real Property,7041,1730,120.26
Conspiracy to Commit Group A Offense,61,20,1.11
Conspiracy to Commit Group B Offense,9,2,0.15
All Other Offenses,63175,21588,1162.17
Total Group B Arrests,132871,43035,2411.82
