Point of Entry/Exit During Burglary,Entry,Exit
Front,29,23
Rear,13,7
Side,10,6
Attic,,
Vent/AC,,
Window,9,5
Door,14,19
Patio/Sliding Dr,2,1
Balcony/Fire Escape,,
Attached Garage,,
Wall,1,1
Vehicle,6,6
Floor,,
Roof/Skylight,1,
Hidden Within,,
Other,7,5
Unknown,52,48
