Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter,261,84,175,0,2
Negligent Manslaughter,4,3,1,0,0
Kidnapping,714,335,373,2,4
Forcible Rape,482,269,210,2,1
Forcible Sodomy,207,134,71,1,1
Sexual Assault with an Object,99,64,35,0,0
Forcible Fondling,709,451,246,1,11
Robbery,1486,356,1129,0,1
Aggravated Assault,4738,2247,2464,3,24
Simple Assault,34023,18831,14896,25,271
Intimidation,1619,919,690,1,9
Arson,389,252,136,1,0
Extortion/Blackmail,29,23,6,0,0
Burglary/Breaking & Entering,4018,2396,1598,1,23
Pocket-picking,212,112,96,1,3
Purse-snatching,46,23,23,0,0
Shoplifting,9782,5018,4671,2,91
Theft from Building,746,449,293,0,4
Theft from Coin-Operated Machine or Device,75,49,25,0,1
Theft from Motor Vehicle,606,421,185,0,0
Theft of Motor Vehicle Parts or Accessories,151,107,43,0,1
All Other Larceny,9190,5096,4027,3,64
Motor Vehicle Theft,1558,658,898,0,2
Counterfeiting/Forgery,3127,1904,1215,1,7
False Pretenses/Swindle/Confidence Game,1702,1011,681,0,10
Credit Card/Automatic Teller Machine Fraud,333,187,141,0,5
Impersonation,345,198,145,0,2
Welfare Fraud,61,32,29,0,0
Wire Fraud,8,6,2,0,0
Embezzlement,1250,702,529,1,18
Stolen Property Offenses,954,407,543,2,2
DestructionDamage/Vandalism of Property,4333,2764,1546,1,22
Drug/Narcotic Violations,25244,13303,11801,15,125
Drug Equipment Violations,240,160,79,0,1
Incest,10,5,5,0,0
Statutory Rape,128,67,59,0,2
Pornography/Obscene Material,54,43,10,0,1
Betting/Wagering,22,1,21,0,0
Operating/Promoting/Assisting Gambling,4,0,4,0,0
Gambling Equipment Violations,4,3,1,0,0
Sports Tampering,0,0,0,0,0
Prostitution,426,163,260,1,2
Assisting or Promoting Prostitution,97,54,42,0,1
Bribery,4,3,1,0,0
Weapon Law Violations,3414,1761,1622,1,30
TOTAL,112904,61071,51027,65,741
