Group A Offenses,Year,Number of Offenses,"Rate Per 100,000"
Murder,2002,379,5.2
Kidnapping/Abduction,2002,1667,22.86
Forcible Sex Offenses,2002,5258,72.09
Robbery,2002,6865,94.12
Aggravated Assaults,2002,11677,160.1
Simple Assaults/Intimidation,2002,88176,1208.97
Arson,2002,1768,24.24
Extortion/Blackmail,2002,76,1.04
Burglary,2002,30671,420.53
Larceny,2002,175997,2413.07
Motor Vehicle Theft,2002,18388,252.11
Counterfeiting/Forgery,2002,8115,111.26
Fraud,2002,13006,178.32
Embezzlement,2002,2703,37.06
Stolen Property,2002,1254,17.19
Damage/Vandalism,2002,93832,1286.52
Drug/Narcotics,2002,34404,471.71
Nonforcible Sex Offenses,2002,290,3.98
Pornography,2002,161,2.21
Gambling,2002,43,0.59
Prostitution,2002,712,9.76
Bribery,2002,18,0.25
Weapon Law Violations,2002,8987,123.22
All counts are number of offenses except for offenses against a person in which victims are counted.,,,
