Circumstances of Aggravated Assaults,Number
Argument,4688
Assault on Law Officer,716
Drug Dealing,48
Gangland,34
Juvenile Gang,29
Lover's Quarrel,279
Other Felony Involved,67
Other Circumstances,2541
Unknown Circumstances,3368
