Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
Alcoholic Bev. Control,149,129,20,49
Ches. Bay Brdg. Tunnel PD,42,40,2,43
Div. of Capitol Police,86,78,8,12
Dept of Conservation & Rec,100,90,10,84
Southside VA Trng Center,19,17,2,2
Richmond Int'l Airport,28,24,4,1
VA Port Authority,71,68,3,5
Norfolk Arpt Authority,29,27,2,7
Metro. Wash.Airport Auth.,175,151,24,56
Virginia State Police,1817,1741,76,649
OTHER AGENCY TOTAL,2516,2365,151,908
