Location,Total Offenses
Air/Bus/Train Terminal,3
Bank/Savings and Loan,2
Bar/Night Club,3
Church/Synagogue/Temple,12
Commercial/Office Building,34
Construction Site,29
Convenience Store,5
Department/Discount Store,12
Drug Store/Doctor's Office/,
Hospital,12
Field/Woods,176
Government/Public Building,27
Grocery/Supermarket,6
Highway/Road/Alley,201
Hotel/Motel/Etc.,12
Jail/Prison,2
Lake/Waterway,4
Liquor Store,1
Parking Lot/Garage,123
Rental Storage Facility,7
Residence/Home,763
Restaurant,9
School/College,132
Service/Gas Station,7
Specialty Store,13
Other/Unknown,173
Total,1768
