Arrests by Offense,Giles,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,0
Robbery,0,0
Aggravated Assault,27,0
Simple Assault/Intimidation,86,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,1
Larceny,13,
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,1,0
Fraud,3,0
Embezzlement,3,0
Stolen Property,1,0
Vandalism,5,0
Drug/Narcotic Offenses,18,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,1
TOTAL GROUP A,164,4
Bad Checks,44,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,3,
Driving Under Influence,46,1
Drunkenness,28,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,7,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,12,0
Conspiracy,0,0
All Other (except Traffic),354,5
TOTAL GROUP B,496,8
GRAND TOTAL,660,12
