Arrests by Offense,Falls Church,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,2,0
Simple Assault/Intimidation,29,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,
Larceny,46,9
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,3,0
Fraud,8,0
Embezzlement,4,0
Stolen Property,0,1
Vandalism,2,0
Drug/Narcotic Offenses,40,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,1
TOTAL GROUP A,140,22
Bad Checks,1,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,32,
Driving Under Influence,33,1
Drunkenness,118,10
"Family Offenses, Nonforcible",,
Liquor Laws Violations,12,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,55,0
Conspiracy,0,0
All Other (except Traffic),109,11
TOTAL GROUP B,360,27
GRAND TOTAL,500,49
