Arrests by Offense,Franklin,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",9,1
Robbery,0,0
Aggravated Assault,17,2
Simple Assault/Intimidation,77,6
Arson,0,0
Extortion/Blackmail,0,0
Burglary,28,3
Larceny,63,5
Motor Vehicle Theft,10,12
Counterfeiting/Forgery,8,0
Fraud,10,0
Embezzlement,5,0
Stolen Property,2,0
Vandalism,17,4
Drug/Narcotic Offenses,68,21
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,26,3
TOTAL GROUP A,340,57
Bad Checks,264,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,18,13
Driving Under Influence,228,4
Drunkenness,175,3
"Family Offenses, Nonforcible",6,
Liquor Laws Violations,47,15
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,61,6
Conspiracy,2,0
All Other (except Traffic),649,24
TOTAL GROUP B,1451,65
GRAND TOTAL,1791,122
