Arrests by Offense,Franklin,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",4,0
Robbery,8,1
Aggravated Assault,13,1
Simple Assault/Intimidation,108,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,1
Larceny,28,1
Motor Vehicle Theft,2,1
Counterfeiting/Forgery,2,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,2,0
Vandalism,4,0
Drug/Narcotic Offenses,59,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,16,2
TOTAL GROUP A,260,12
Bad Checks,7,0
Curfew/Loitering/Vagrancy,,2
Disorderly Conduct,11,1
Driving Under Influence,19,0
Drunkenness,36,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,13,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,19,6
Conspiracy,0,0
All Other (except Traffic),120,2
TOTAL GROUP B,227,12
GRAND TOTAL,487,24
