Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,17,2
Manslaughter,0,0
Kidnaping,40,0
"Sex Offenses, Forcible",61,30
Robbery,106,42
Aggravated Assault,264,53
Simple Assault/Intimidation,"1,483",268
Arson,7,18
Extortion/Blackmail,3,0
Burglary,137,74
Larceny,549,259
Motor Vehicle Theft,63,50
Counterfeiting/Forgery,72,5
Fraud,115,3
Embezzlement,44,2
Stolen Property,41,24
Vandalism,137,84
Drug/Narcotic Offenses,1450,161
"Sex Offenses, Nonforcible",6,0
Pornography,0,0
Gambling,,2
Prostitution,50,0
Bribery,0,0
Weapon Law Violations,152,57
TOTAL GROUP A,"4,797",1134
Bad Checks,2,0
Curfew/Loitering/Vagrancy,5,210
Disorderly Conduct,40,38
Driving Under Influence,309,9
Drunkenness,927,8
"Family Offenses, Nonforcible",182,3
Liquor Laws Violations,94,56
Peeping Tom,1,0
Runaway,0,362
Trespass of Real Property,196,119
Conspiracy,0,0
All Other (except Traffic),534,452
TOTAL GROUP B,2290,1257
GRAND TOTAL,7087,2391
