Arrests by Offense,Charlottesville,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,2
Kidnaping,7,0
"Sex Offenses, Forcible",9,0
Robbery,6,0
Aggravated Assault,37,1
Simple Assault/Intimidation,323,13
Arson,0,0
Extortion/Blackmail,0,0
Burglary,23,9
Larceny,117,19
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,21,0
Fraud,24,1
Embezzlement,13,0
Stolen Property,5,4
Vandalism,36,0
Drug/Narcotic Offenses,236,18
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,28,2
TOTAL GROUP A,888,69
Bad Checks,349,0
Curfew/Loitering/Vagrancy,,10
Disorderly Conduct,58,2
Driving Under Influence,250,2
Drunkenness,429,2
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,94,14
Peeping Tom,4,0
Runaway,0,21
Trespass of Real Property,153,7
Conspiracy,0,0
All Other (except Traffic),1096,59
TOTAL GROUP B,2435,117
GRAND TOTAL,3323,186
