Arrests by Offense,Dinwiddie,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",8,1
Robbery,1,0
Aggravated Assault,18,1
Simple Assault/Intimidation,23,2
Arson,0,0
Extortion/Blackmail,1,0
Burglary,6,2
Larceny,25,7
Motor Vehicle Theft,13,5
Counterfeiting/Forgery,9,1
Fraud,8,1
Embezzlement,3,0
Stolen Property,0,0
Vandalism,7,6
Drug/Narcotic Offenses,39,7
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,3
TOTAL GROUP A,171,36
Bad Checks,8,1
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,5,24
Driving Under Influence,71,0
Drunkenness,39,1
"Family Offenses, Nonforcible",,
Liquor Laws Violations,,1
Peeping Tom,0,0
Runaway,0,14
Trespass of Real Property,5,0
Conspiracy,0,0
All Other (except Traffic),59,8
TOTAL GROUP B,187,49
GRAND TOTAL,358,85
