Arrests by Offense,Petersburg,
,Adult,Juvenile
Murder,9,0
Manslaughter,0,0
Kidnaping,16,0
"Sex Offenses, Forcible",13,1
Robbery,19,15
Aggravated Assault,118,12
Simple Assault/Intimidation,690,49
Arson,5,1
Extortion/Blackmail,0,0
Burglary,51,11
Larceny,206,20
Motor Vehicle Theft,21,22
Counterfeiting/Forgery,65,0
Fraud,8,0
Embezzlement,39,0
Stolen Property,36,35
Vandalism,98,11
Drug/Narcotic Offenses,268,23
"Sex Offenses, Nonforcible",2,1
Pornography,0,0
Gambling,3,0
Prostitution,4,0
Bribery,0,0
Weapon Law Violations,54,10
TOTAL GROUP A,"1,725",211
Bad Checks,27,0
Curfew/Loitering/Vagrancy,3,14
Disorderly Conduct,212,28
Driving Under Influence,113,2
Drunkenness,138,2
"Family Offenses, Nonforcible",,
Liquor Laws Violations,67,4
Peeping Tom,1,0
Runaway,0,21
Trespass of Real Property,148,25
Conspiracy,0,0
All Other (except Traffic),1797,91
TOTAL GROUP B,2506,187
GRAND TOTAL,4231,398
