Arrests by Offense,Augusta,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",14,3
Robbery,4,3
Aggravated Assault,16,0
Simple Assault/Intimidation,128,14
Arson,1,6
Extortion/Blackmail,2,0
Burglary,27,1
Larceny,60,4
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,24,0
Fraud,6,0
Embezzlement,4,0
Stolen Property,7,0
Vandalism,17,3
Drug/Narcotic Offenses,111,1
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,21,0
TOTAL GROUP A,449,35
Bad Checks,30,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,20,4
Driving Under Influence,122,8
Drunkenness,128,0
"Family Offenses, Nonforcible",8,
Liquor Laws Violations,19,5
Peeping Tom,0,0
Runaway,0,3
Trespass of Real Property,63,3
Conspiracy,0,0
All Other (except Traffic),831,34
TOTAL GROUP B,1221,57
GRAND TOTAL,1670,92
