Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,10,2
Manslaughter,0,0
Kidnaping,50,4
"Sex Offenses, Forcible",48,37
Robbery,71,26
Aggravated Assault,135,54
Simple Assault/Intimidation,"1,187",1167
Arson,6,12
Extortion/Blackmail,0,0
Burglary,127,207
Larceny,996,716
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,205,12
Fraud,173,21
Embezzlement,97,10
Stolen Property,18,16
Vandalism,148,227
Drug/Narcotic Offenses,1158,304
"Sex Offenses, Nonforcible",13,2
Pornography,8,3
Gambling,1,0
Prostitution,40,1
Bribery,1,0
Weapon Law Violations,126,103
TOTAL GROUP A,"4,619",2924
Bad Checks,198,2
Curfew/Loitering/Vagrancy,1,318
Disorderly Conduct,648,266
Driving Under Influence,944,14
Drunkenness,24,24
"Family Offenses, Nonforcible",19,
Liquor Laws Violations,135,84
Peeping Tom,4,1
Runaway,0,780
Trespass of Real Property,215,166
Conspiracy,0,0
All Other (except Traffic),3633,321
TOTAL GROUP B,5821,1976
GRAND TOTAL,10440,4900
