Traffic Complaints,Total
Assist Motorists ,119
Crash/Priv. Prop. ,49
Crash/Street ,198
Directing ,9
Funeral Escorts ,89
Hazards ,59
Miscellaneous ,47
Parking Complaint ,17
Reckless Driving ,25
Suspended OL,89
