Year,Commitments,Change
FY2015,12138,-0.50%
FY2016,12179,0.30%
FY2017,12220,0.30%
FY2018,12255,0.30%
FY2019,12286,0.30%
FY2020,12314,0.20%
Average Change,,0.20%
