Year,Commitments,Change
FY2007,13324,6.4%
FY2008,13017,-2.3%
FY2009,12407,-4.7%
FY2010,11934,-3.8%
FY2011,11815,-1.0%
FY2012,11507,-2.6%
FY2013,11731,1.9%
FY2014,12197,4.0%
Average Change,,-0.3%
