Year,Population,Change
FY07,"1,061",-1.50%
FY08,"1,011",-4.70%
FY09,939,-7.10%
FY10,805,-14.30%
FY11,758,-5.80%
FY12,753,-0.70%
FY13,729,-3.20%
FY14,735,0.80%
Avg. change,,-4.60%
