Year,Adult Local-Responsible Jail Population (Average of End-of-Month Population for each Fiscal Year)
FY2005,18047
FY2006,19362
FY2007,20804
FY2008,20266
FY2009,19737
FY2010,18984
FY2011,19018
FY2012,19359
FY2013,19951
FY2014,19687
