Year,Population,Change
FY2006,37957,4.00%
FY2007,38826,2.30%
FY2008,38287,-1.10%
FY2009,37724,-1.70%
FY2010,37503,-0.60%
FY2011,37159,-0.90%
FY2013,37202,0.10%
FY2014,37843,1.70%
Average Change,,0.50%
