Year,Department of Juvenile Justice Admissions,Forecast
FY2005,932,Actual
FY2006,877,Actual
FY2007,842,Actual
FY2008,781,Actual
FY2009,770,Actual
FY2010,619,Actual
FY2011,572,Actual
FY2012,499,Actual
FY2013,444,Actual
FY2014,373,Actual
FY2015,303,Approved Forecast
FY2016,303,Approved Forecast
FY2017,303,Approved Forecast
FY2018,303,Approved Forecast
FY2019,303,Approved Forecast
FY2020,303,Approved Forecast
