Year,Forecast,Technical Probation Violator Population
FY2005,Actual,1386
FY2006,Actual,1358
FY2007,Actual,1431
FY2008,Actual,1520
FY2009,Actual,1444
FY2010,Actual,1373
FY2011,Actual,1158
FY2012,Actual,1278
FY2013,Actual,1349
FY2014,Actual,1251
FY2015,Approved Forecast,1304
FY2016,Approved Forecast,1330
FY2017,Approved Forecast,1326
FY2018,Approved Forecast,1293
FY2019,Approved Forecast,1311
FY2020,Approved Forecast,1315
