Adult State-Responsible Offender Population (on 30 June of each year),Year
35879,FY2004
35900,FY2005
36486,FY2006
37957,FY2007
38826,FY2008
38387,FY2009
37724,FY2010
37503,FY2011
37159,FY2012
37202,FY2013
37843,FY2014
