Year,Felony Sentencing Events in Circuit Court
FY2005,23406
FY2006,24361
FY2007,26943
FY2008,27574
FY2009,26238
FY2010,25302
FY2011,24993
FY2012,24496
FY2013,25155
FY2014,25124*
