Year,Females,Change
FY2015,3057,1.5%
FY2016,3159,"3,4%"
FY2017,3206,1.5%
FY2018,3208,0.1%
FY2019,3189,-0.6%
FY2020,3250,1.9%
Projected Average Growth FY2015 - FY2020,,1.3%
