Year,Average Length-of-Stay for Juveniles Committed to the Department of Juvenile Justice (in months)
FY2005,13.3
FY2006,14.1
FY2007,14.8
FY2008,15.2
FY2009,15.3
FY2010,14.8
FY2011,17.5
FY2012,18.7
FY2013,18.4
FY2014,18.6
