Year,Cocaine Arrests,Heroin/Other Narcotics Arrests,Methamphetamines/Other Stimulants Arrests
2005,8052,1453,633
2007,8298,1877,485
2009,4980,2480,534
2011,4372,2979,755
2013,3980,3980,977
