Year,Population,Change
FY2007,1006,"-2,3%"
FY2008,945,-6.10%
FY2009,874,-7.50%
FY2010,859,-1.60%
FY2011,816,-5.00%
FY2012,758,-7.10%
FY2013,695,-8.30%
FY2014,599,-13.80%
Average Change,,-6.50%
