Note,Description
*,"Since verification of L1DS-CORIS data is not yet complete, the FY2014 population Is estimated."
**,"The Technical Probation Violator forecast is a subgroup of, and not in addition to, the Adult State-Responsible Offender Forecast. Based on previous study, the Department of Corrections has estimated that 53% of technical violators sentenced to a state-responsible term may be suitable for alternative sanctions."
