Year,Males,Change
FY2015,35578,2.1%
FY2016,36268,1.9%
FY2017,36562,0.8%
FY2018,36232,-0.9%
FY2019,36365,0.4%
FY2020,36416,0.1%
Projected Average Growth FY2015 - 2020,,0.7%
