Year,Juvenile Detention Home Population (Fiscal Year Average)
FY2005,"1,033"
FY2006,"1,077"
FY2007,"1,061"
FY2008,"1,011"
FY2009,939
FY2010,805
FY2011,758
FY2012,753
FY2013,729
FY2014,735
