Year,Population,Change
FY2007,20804,7.40%
FY2008,20266,-2.60%
FY2009,19737,-2.60%
FY2010,18984,-3.80%
FY2011,19018,0.20%
FY2012,19359,1.80%
FY2013,19951,3.10%
FY2014,19687,-1.30%
Average Change,,0.30%
