Year,Juvenile Detention Home Admissions - First-Time Detainments (excluding Transfers)
FY2005,"15,621"
FY2006,"15,655"
FY2007,"15,285"
FY2008,"14,209"
FY2009,"13,475"
FY2010,11364
FY2011,10492
FY2012,10631
FY2013,10501
FY2014,10034
