Year,Juvenile Intake Cases at Court Services Units
FY2005,67780
FY2006,67771
FY2007,66452
FY2008,64356
FY2009,63551
FY2010,56658
FY2011,53170
FY2012,51757
FY2013,46220
FY2014,43754
