Description,Street,Report Date,Report Time,Incident #
Homicide,Jenny Ln,2/4/2008,1808,108000701
Homicide,Cunningham St,4/12/2008,1430,108002319
Homicide,Audubon Dr,4/12/2008,922,108002544
Homicide,Cherokee Ct,6/11/2008,2048,108003863
Homicide,Haivilin Ave,7/22/2008,2108,108005056
Homicide,Holland Rd,8/15/2008,445,108005656
Homicide,Cedar Plc,9/26/2008,105,108006693
Homicide,Scales St,10/24/2008,1617,108007399
Homicide,Teal Ct,12/27/2008,217,108008918
Manslaughter,Riverside Dr,1/11/2009,2200,109000214
Homicide,Richardson St,3/18/2009,110,109001581
Homicide,Ross St,7/11/2009,225,1090004410
Homicide,First St,8/14/2009,2315,109005292
Homicide,Wayless St,8/25/2009,241,109005521
Homicide,Wooding Ave,9/18/2009,2325,109005167
Homicide,Washington St,10/23/2009,2333,109007020
Homicide,Washington St,11/12/2009,230,109007475
Homicide,N Ridge St,12/25/2009,2030,109008468
Homicide,S Main St,1/5/2010,1403,110000102
Homicide,Longview Ave,1/22/2010,16,110000435
Homicide,Kentuck Rd,2/20/2010,300,110001022
