Crime,Definition
Violent Crimes,"Assault & Battery, Malicious Wounding, Armed Robbery, Attempted Murder"
Other Crimes,"Grand Larceny, Petit Larceny, Vandalism, Fraud, DUI, Vehicle Theft, Weapons Violations and various other misdeanors"
